n_groups,Run,bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,step_peak_A,step_peak_B,susceptible,num_nodes,initial_viral_size_A,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_appearance,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance
3,0,148,188,93,117,130,56,25,80,94,7,7,7,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,1,196,206,156,132,118,63,24,103,97,8,8,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,2,214,208,174,118,131,61,24,118,121,5,6,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,3,218,87,65,134,133,70,23,118,48,5,7,10,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,4,200,203,154,135,145,80,26,123,130,6,7,1,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,5,214,176,148,130,132,72,31,116,94,6,7,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,6,217,209,179,130,139,72,43,138,133,5,4,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,7,214,148,115,125,134,66,22,124,77,5,4,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,8,203,210,165,116,127,60,22,117,130,6,6,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,9,171,198,122,116,128,62,25,108,114,6,5,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,10,192,198,144,125,129,68,29,114,128,4,6,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,11,209,190,156,129,132,74,27,102,102,7,6,7,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,12,218,207,177,133,139,73,24,145,139,5,6,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,13,154,236,142,130,127,62,31,73,139,7,5,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,14,200,204,157,133,123,77,27,120,124,6,6,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,15,201,183,140,136,123,64,34,121,104,7,6,6,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,16,229,148,135,136,120,66,28,139,68,6,6,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,17,208,172,134,129,134,71,22,122,89,6,5,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,18,160,225,141,127,127,63,22,88,131,7,5,6,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,19,199,213,162,123,125,59,23,127,142,6,6,0,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,20,168,212,135,126,134,67,33,87,133,6,5,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,21,165,206,126,121,121,57,26,98,130,6,5,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,22,199,209,159,137,130,64,24,112,125,6,6,1,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,23,222,186,162,125,134,71,28,128,117,5,6,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,24,134,232,119,126,134,63,27,70,135,6,5,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,25,5,235,2,145,132,72,25,5,113,1,9,12,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,26,192,177,124,128,119,56,26,107,97,5,6,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,27,196,194,143,128,131,59,34,106,85,7,5,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,28,184,176,115,130,136,75,29,108,80,7,7,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,29,139,232,128,110,125,54,30,73,129,7,6,7,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,30,198,167,121,140,121,69,30,130,95,7,5,6,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,31,196,140,96,125,128,59,25,107,57,7,8,10,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,32,126,233,113,120,116,53,29,79,148,7,5,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,33,160,216,131,125,134,70,24,86,129,6,6,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,34,159,206,124,118,127,56,25,75,108,7,5,9,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,35,208,171,134,132,124,71,25,118,96,5,5,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,36,222,176,153,126,137,67,20,145,114,5,6,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,37,127,209,103,112,130,55,34,68,131,6,5,17,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,38,139,227,117,125,126,49,31,76,129,6,5,1,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,39,163,215,130,133,143,79,23,101,134,7,6,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,40,202,221,175,133,124,69,30,136,146,4,4,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,41,229,175,158,132,130,66,26,139,116,4,6,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,42,176,210,139,131,138,75,25,87,112,7,6,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,43,176,194,125,136,133,79,22,95,107,6,5,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,44,200,186,144,133,119,69,23,119,86,7,6,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,45,227,196,173,123,118,59,23,151,126,5,5,0,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,46,200,195,150,132,131,64,23,128,128,5,5,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,47,199,183,137,124,130,58,25,107,98,7,7,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,48,197,219,167,126,144,73,24,124,147,5,5,1,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,49,180,220,154,127,138,74,24,107,120,6,7,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,50,57,152,19,133,131,64,30,29,56,6,6,60,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,51,27,144,8,116,140,65,31,11,56,5,8,87,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,52,105,151,37,132,140,73,32,50,60,11,12,31,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,53,130,137,56,125,141,71,29,55,67,10,8,39,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,54,90,119,35,128,128,59,23,45,63,3,6,76,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,55,119,110,26,134,120,64,43,39,45,11,10,47,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,56,54,172,24,118,133,70,39,18,36,18,16,48,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,57,128,88,23,129,139,62,25,48,35,10,5,57,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,58,52,167,26,126,127,63,46,16,40,4,13,57,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,59,102,172,56,136,127,67,32,41,77,8,8,32,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,60,10,190,1,127,125,56,42,6,54,1,19,51,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,61,162,97,59,139,129,78,25,78,34,7,10,50,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,62,105,137,33,130,127,65,30,42,65,9,9,41,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,63,72,174,40,131,142,72,24,41,103,4,5,44,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,64,132,154,66,115,125,62,28,44,62,6,8,30,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,65,188,65,39,137,130,68,26,87,31,7,9,36,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,66,167,110,65,130,134,60,26,77,58,7,7,38,250,5,5,0.3,0.3,3,0.6,0.5,0.5
