num_nodes	n_groups	influencer_appearance	Run	Bored_A	Bored_B	Bored_both	Interest_A	Interest_B	Interest_both	Num_steps	Peak_A	Peak_B	Step_peak_A	Step_peak_B	Susceptible	initial_viral_size_A	initial_viral_size_B	meme_spread_chance	maybe_bored	influencer_spread_chance	interest_meme_A_chance	interest_meme_B_chance
100	2	1	0	37	18	3	56	43	26	14	18	13	7	5	48	5	5	0.3	0.3	0.6	0.5	0.5
100	2	1	1	26	41	10	48	49	21	18	13	20	2	4	43	5	5	0.3	0.3	0.6	0.5	0.5
100	2	1	2	38	22	4	51	54	34	23	16	13	4	3	44	5	5	0.3	0.3	0.6	0.5	0.5
100	2	1	3	74	7	1	55	63	33	32	25	6	4	2	20	5	5	0.3	0.3	0.6	0.5	0.5
100	2	1	4	45	40	19	52	53	29	22	22	22	5	6	34	5	5	0.3	0.3	0.6	0.5	0.5
100	2	1	5	29	70	15	53	58	31	28	15	27	3	9	16	5	5	0.3	0.3	0.6	0.5	0.5
100	2	1	6	33	37	1	52	63	31	24	14	17	5	8	31	5	5	0.3	0.3	0.6	0.5	0.5
100	2	1	7	26	73	13	59	60	33	29	13	45	4	5	14	5	5	0.3	0.3	0.6	0.5	0.5
100	2	1	8	61	32	17	45	44	25	29	19	13	14	2	24	5	5	0.3	0.3	0.6	0.5	0.5
100	2	1	9	30	79	20	47	57	29	18	19	52	6	4	11	5	5	0.3	0.3	0.6	0.5	0.5
100	2	3	10	51	33	7	43	45	20	27	36	9	3	3	23	5	5	0.3	0.3	0.6	0.5	0.5
100	2	3	11	62	44	28	57	49	25	22	35	25	5	5	22	5	5	0.3	0.3	0.6	0.5	0.5
100	2	3	12	61	33	18	56	55	34	25	35	17	6	5	24	5	5	0.3	0.3	0.6	0.5	0.5
100	2	3	13	52	25	3	51	52	21	25	22	13	6	1	26	5	5	0.3	0.3	0.6	0.5	0.5
100	2	3	14	69	49	32	57	49	30	22	41	29	5	7	14	5	5	0.3	0.3	0.6	0.5	0.5
100	2	3	15	48	63	23	47	57	26	26	21	32	4	3	12	5	5	0.3	0.3	0.6	0.5	0.5
100	2	3	16	77	24	16	49	42	25	23	32	13	4	3	15	5	5	0.3	0.3	0.6	0.5	0.5
100	2	3	17	57	38	21	69	56	39	21	34	23	4	6	26	5	5	0.3	0.3	0.6	0.5	0.5
100	2	3	18	65	37	10	54	53	28	26	32	16	8	7	8	5	5	0.3	0.3	0.6	0.5	0.5
100	2	3	19	25	70	13	40	56	23	24	14	28	2	7	18	5	5	0.3	0.3	0.6	0.5	0.5
