influencer_appearance,Run,bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,step_peak_A,step_peak_B,susceptible,num_nodes,n_groups,initial_viral_size_A,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance
1,0,89,146,38,131,126,69,32,28,52,9,6,53,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,1,144,106,51,126,143,81,25,79,48,7,9,51,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,2,131,152,71,134,134,78,36,51,57,6,8,38,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,3,123,137,58,123,111,56,33,47,54,7,10,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,4,135,46,25,119,122,55,24,54,24,7,8,94,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,5,63,201,37,127,136,72,27,26,93,6,9,23,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,6,108,168,60,141,128,72,33,49,64,9,9,34,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,7,137,170,83,134,126,60,28,50,79,8,8,26,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,8,95,184,63,143,129,73,26,43,84,5,9,34,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,9,138,117,45,136,129,62,22,66,47,5,9,40,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,10,194,69,37,122,119,57,25,81,32,7,11,24,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,11,186,72,46,134,129,76,28,69,31,10,12,38,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,12,160,129,65,115,115,52,24,60,60,8,7,26,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,13,9,213,1,119,131,61,38,7,77,1,10,29,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,14,46,187,32,130,132,71,30,19,70,3,7,49,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,15,182,32,13,117,132,58,41,65,16,9,9,49,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,16,100,175,61,131,140,69,24,43,67,10,9,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,17,99,117,27,117,125,59,30,30,46,11,12,61,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,18,46,162,16,124,120,58,30,17,56,4,11,58,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,19,153,119,55,132,125,61,30,63,44,11,16,33,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,20,126,187,88,124,150,70,31,52,69,7,8,25,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,21,42,149,9,117,131,53,37,11,41,7,6,68,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,22,133,121,46,130,129,65,24,54,51,10,6,42,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,23,90,173,47,133,131,74,28,32,70,6,6,34,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,24,186,21,6,128,121,62,32,56,8,14,3,49,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,25,170,125,67,132,128,65,27,79,54,7,8,22,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,26,206,89,59,147,140,76,25,93,33,7,4,14,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,27,159,87,35,121,120,60,26,73,34,8,8,39,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,28,158,91,37,132,120,59,32,55,30,10,5,38,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,29,105,168,59,133,128,64,27,42,76,9,9,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,30,138,114,42,115,129,70,32,44,45,10,11,40,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,31,88,140,34,130,119,61,39,29,39,10,8,56,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,32,52,179,20,136,123,61,26,20,94,7,7,39,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,33,170,87,44,120,120,62,31,59,24,12,12,37,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,34,102,204,71,134,123,63,25,43,105,8,8,15,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,35,59,169,28,129,121,62,25,30,89,8,8,50,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,36,155,153,76,136,127,68,27,78,87,7,8,18,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,37,106,169,47,120,126,63,26,52,66,9,8,22,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,38,56,188,26,124,128,66,34,19,70,2,9,32,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,39,146,113,51,125,128,68,31,57,44,8,9,42,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,40,168,133,76,136,118,71,26,95,65,6,6,25,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,41,157,112,59,129,136,63,34,55,39,12,14,40,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,42,157,82,39,123,124,61,24,54,32,4,9,50,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,43,172,68,23,126,136,64,30,53,25,8,7,33,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,44,140,145,64,134,130,75,30,63,62,6,8,29,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,45,108,102,25,115,128,51,44,21,32,6,19,65,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,46,116,109,39,127,111,54,25,48,38,6,9,64,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,47,72,160,25,116,132,58,32,23,59,8,9,43,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,48,112,143,44,114,133,62,30,43,70,9,8,39,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,49,139,93,36,138,135,74,24,69,39,6,4,54,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,50,62,160,25,134,125,68,25,23,67,4,7,53,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,51,139,172,84,125,139,68,26,65,88,6,6,23,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,52,110,153,57,124,117,61,37,41,52,13,12,44,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,53,124,152,55,115,129,59,28,52,57,5,5,29,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,54,148,128,56,125,123,60,32,63,52,9,10,30,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,55,145,82,24,125,133,67,32,52,30,9,8,47,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,56,170,92,52,108,129,55,32,75,52,8,8,40,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,57,160,52,15,138,123,66,29,75,25,10,5,53,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,58,116,98,27,112,122,53,33,36,39,4,10,63,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,59,108,143,54,118,135,56,29,46,43,6,9,53,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,60,123,126,40,124,124,53,30,31,52,10,4,41,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,61,132,89,38,110,114,54,29,49,42,7,8,67,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,62,157,96,44,130,115,60,27,55,31,8,10,41,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,63,160,143,73,122,130,64,24,68,60,9,9,20,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,64,106,143,32,134,131,73,34,30,61,12,7,33,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,65,91,179,46,140,134,70,26,52,78,9,6,26,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,66,117,150,61,133,131,65,31,53,60,7,8,44,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,67,67,84,4,130,119,54,45,27,20,4,7,103,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,68,60,155,21,107,134,61,47,28,47,8,10,56,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,69,99,177,48,124,116,57,31,47,69,12,11,22,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,70,148,10,1,114,138,64,35,41,9,17,2,93,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,71,136,180,86,126,126,63,33,65,90,7,8,20,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,72,137,123,48,114,131,61,31,59,60,7,10,38,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,73,13,201,8,119,122,63,28,8,72,10,10,44,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,74,142,93,39,128,124,66,30,58,40,7,8,54,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,75,104,105,34,115,114,65,26,36,46,9,6,75,250,5,5,5,0.3,0.3,0.6,0.5,0.5
