num_nodes	n_groups	influencer_appearance	Run	bored_A	bored_B	bored_both	interest_A	interest_B	interest_both	num_steps	peak_A	peak_B	step_peak_A	step_peak_B	susceptible	initial_viral_size_A	initial_viral_size_B	meme_spread_chance	maybe_bored	influencer_spread_chance	interest_meme_A_chance	interest_meme_B_chance
100	2	1	0	39	69	25	39	67	30	23	27	34	2	4	17	10	5	0.3	0.3	0.6	0.3	0.6
100	2	1	1	42	33	9	26	57	13	30	26	13	3	15	34	10	5	0.3	0.3	0.6	0.3	0.6
100	2	1	2	53	61	24	39	66	28	22	35	35	4	4	10	10	5	0.3	0.3	0.6	0.3	0.6
100	2	1	3	23	34	11	45	57	27	16	14	17	1	5	54	10	5	0.3	0.3	0.6	0.3	0.6
100	2	1	4	26	28	9	36	56	20	22	14	16	2	3	55	10	5	0.3	0.3	0.6	0.3	0.6
100	2	1	5	46	70	25	35	65	26	26	28	30	3	8	9	10	5	0.3	0.3	0.6	0.3	0.6
100	2	1	6	51	81	36	33	67	20	28	29	37	5	6	4	10	5	0.3	0.3	0.6	0.3	0.6
100	2	1	7	57	44	22	40	59	24	23	28	25	4	6	21	10	5	0.3	0.3	0.6	0.3	0.6
100	2	1	8	23	64	6	28	58	18	18	13	30	2	6	19	10	5	0.3	0.3	0.6	0.3	0.6
100	2	1	9	28	72	15	31	63	16	26	18	47	2	5	15	10	5	0.3	0.3	0.6	0.3	0.6
100	2	3	10	45	56	18	38	55	25	33	15	29	2	6	17	10	5	0.3	0.3	0.6	0.3	0.6
100	2	3	11	51	52	16	35	58	18	24	26	27	3	5	13	10	5	0.3	0.3	0.6	0.3	0.6
100	2	3	12	28	49	15	44	59	28	23	13	25	1	4	38	10	5	0.3	0.3	0.6	0.3	0.6
100	2	3	13	36	57	9	36	63	23	21	18	26	3	4	16	10	5	0.3	0.3	0.6	0.3	0.6
100	2	3	14	13	75	5	32	61	25	20	11	36	1	4	17	10	5	0.3	0.3	0.6	0.3	0.6
100	2	3	15	44	49	16	38	61	24	24	23	26	5	4	23	10	5	0.3	0.3	0.6	0.3	0.6
100	2	3	16	32	70	18	41	66	27	26	19	36	4	6	16	10	5	0.3	0.3	0.6	0.3	0.6
100	2	3	17	23	63	13	37	66	24	19	12	38	1	5	27	10	5	0.3	0.3	0.6	0.3	0.6
100	2	3	18	50	20	9	36	58	18	21	24	13	3	2	39	10	5	0.3	0.3	0.6	0.3	0.6
