initial_viral_size_A,Run,bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,step_peak_A,step_peak_B,susceptible,num_nodes,n_groups,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_appearance,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance
5,0,17,225,11,81,188,61,31,7,103,3,8,19,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,1,23,219,14,81,179,56,21,13,89,5,6,22,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,2,17,218,12,74,182,51,25,8,111,1,6,27,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,3,9,214,3,83,191,62,22,6,108,1,8,30,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,4,54,210,40,78,180,51,31,24,94,8,7,26,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,5,35,207,21,69,184,50,26,18,89,4,8,29,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,6,20,227,16,90,170,57,32,12,118,8,7,19,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,7,58,212,47,73,166,43,25,27,103,7,7,27,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,8,44,194,21,75,165,48,25,19,88,2,9,33,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,9,32,216,21,79,179,58,36,20,98,7,7,23,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,10,30,210,16,69,188,58,27,12,117,10,10,26,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,11,6,230,2,86,184,61,23,6,120,1,7,16,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,12,35,216,17,79,187,58,39,12,69,8,12,16,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,13,66,217,46,76,186,53,26,35,117,4,6,13,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,14,46,197,21,71,171,44,25,24,100,5,7,28,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,15,75,213,62,79,179,59,24,37,106,7,8,24,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,16,64,202,41,82,180,57,24,33,111,4,5,25,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,17,36,187,9,61,166,44,37,15,64,3,5,36,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,18,8,204,4,75,181,52,24,5,93,1,7,42,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,19,42,213,29,64,183,47,31,29,105,3,7,24,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,20,83,201,53,75,181,54,29,41,81,5,9,19,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,21,15,217,6,70,178,45,24,9,134,3,7,24,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,22,53,217,37,59,170,37,25,26,107,6,6,17,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,23,33,222,20,67,185,53,33,14,97,5,9,15,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,24,61,202,40,79,171,54,31,32,84,8,10,27,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,25,8,234,7,71,173,46,26,7,143,4,6,15,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,26,23,215,8,80,179,61,28,7,99,3,8,20,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,27,70,204,45,87,176,63,30,26,90,12,11,21,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,28,45,220,32,93,180,66,26,20,129,5,6,17,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,29,81,231,70,78,184,63,22,33,133,6,6,8,250,5,5,0.3,0.3,3,0.6,0.3,0.7
