bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,percentage_meme_A_spread,percentage_meme_B_spread,percentage_spread,step_peak_A,step_peak_B,susceptible,num_nodes,n_groups,initial_viral_size_A,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_appearance,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance,Run
157,131,60,141,126,71,20,94,60,0.6885964912280702,0.5745614035087719,0.912,6,6,22,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,1
184,87,47,131,118,63,38,81,35,0.8214285714285714,0.38839285714285715,0.896,11,11,26,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,2
12,210,3,125,147,68,22,7,103,0.0547945205479452,0.958904109589041,0.876,2,5,31,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,3
90,171,56,131,133,75,29,45,86,0.43902439024390244,0.8341463414634146,0.82,9,8,45,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,4
153,107,47,121,134,64,36,61,34,0.7183098591549296,0.5023474178403756,0.852,6,5,37,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,5
89,161,43,124,111,63,33,37,61,0.42995169082125606,0.7777777777777778,0.828,9,13,43,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,6
156,109,51,126,131,66,30,54,46,0.7289719626168224,0.5093457943925234,0.856,12,10,36,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,7
16,171,2,130,129,73,24,9,61,0.08648648648648649,0.9243243243243243,0.74,1,7,65,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,8
86,134,29,120,124,55,26,36,47,0.450261780104712,0.7015706806282722,0.764,6,10,59,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,9
20,181,5,103,127,51,25,15,76,0.10204081632653061,0.923469387755102,0.784,3,7,54,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,10
186,88,50,140,131,82,27,72,30,0.8303571428571429,0.39285714285714285,0.896,7,8,26,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,11
158,97,56,145,128,65,25,76,53,0.7939698492462312,0.48743718592964824,0.796,6,6,51,250,5,5,5,0.3,0.3,3,0.6,0.5,0.5,12
