n_groups,Run,bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,step_peak_A,step_peak_B,susceptible,num_nodes,initial_viral_size_A,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_appearance,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance
3,0,57,228,43,131,131,69,27,33,112,8,7,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,1,209,136,103,132,116,65,29,132,71,6,8,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,2,215,160,127,129,137,70,24,119,87,6,6,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,3,185,200,138,133,125,67,30,100,130,6,5,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,4,115,227,102,117,123,55,18,66,150,6,4,10,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,5,122,218,100,124,134,67,20,76,121,6,6,10,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,6,194,172,121,129,125,62,30,107,88,6,5,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,7,203,218,173,135,131,73,22,138,137,5,5,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,8,209,208,171,117,142,68,26,114,109,7,7,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,9,181,226,161,135,119,73,29,110,149,6,6,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,10,213,198,163,117,121,56,30,136,109,6,6,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,11,184,159,94,122,118,68,25,94,78,6,7,1,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,12,133,232,121,122,135,76,20,81,160,7,5,6,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,13,136,222,116,125,122,60,23,59,126,5,6,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,14,199,200,153,133,128,68,30,121,116,7,7,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,15,193,209,156,136,118,67,25,127,130,6,6,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,16,199,169,126,123,126,58,22,104,103,5,7,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,17,70,226,53,128,124,64,23,38,126,6,5,7,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,18,213,187,151,122,133,64,26,119,121,7,8,1,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,19,197,184,137,133,133,71,28,121,101,7,7,6,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,20,195,168,116,134,116,61,29,118,80,5,6,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,21,236,105,93,133,115,60,23,156,65,6,6,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,22,196,216,165,129,134,68,23,135,128,7,7,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,23,216,172,147,129,124,65,30,130,83,4,6,9,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,24,160,214,127,109,134,60,22,98,130,4,4,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,25,226,112,93,135,143,70,28,140,74,5,7,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,26,183,223,163,135,136,77,19,104,135,6,5,7,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,27,164,196,118,122,114,49,31,67,103,8,6,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,28,167,192,117,119,129,68,24,97,129,6,6,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,29,217,157,125,124,120,61,24,138,75,5,4,1,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,30,204,206,163,125,130,60,22,118,106,6,5,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,31,160,216,131,121,127,71,26,89,129,5,4,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,32,185,150,90,139,127,68,34,99,62,8,9,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,33,148,213,114,140,134,75,22,97,112,7,8,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,34,195,185,136,128,140,72,24,107,114,5,6,6,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,35,225,171,148,143,126,73,27,120,90,7,8,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,36,171,195,121,102,116,39,28,86,135,5,5,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,37,225,163,143,127,121,62,28,150,97,5,7,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,38,198,231,183,119,144,66,22,125,150,6,6,4,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,39,145,234,132,124,143,59,21,93,155,5,4,3,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,40,213,177,148,124,127,63,25,134,109,5,6,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,41,209,180,144,125,146,71,27,125,106,6,7,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,42,198,199,152,122,137,74,28,120,119,7,8,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,43,195,180,130,123,134,64,33,123,94,6,6,5,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,44,170,187,117,133,123,63,31,101,110,6,5,10,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,45,191,222,172,125,131,74,22,118,145,5,4,9,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,46,233,125,115,131,133,76,28,139,70,5,8,7,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,47,210,215,177,135,123,71,27,116,122,5,6,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,48,209,111,78,124,119,57,32,103,62,7,7,8,250,5,5,0.3,0.3,3,0.6,0.5,0.5
3,49,219,194,165,128,116,56,26,120,100,7,8,2,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,50,155,49,10,130,127,54,27,66,13,7,9,56,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,51,164,147,90,123,133,62,29,69,64,8,8,29,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,52,25,180,10,135,124,63,33,10,44,3,9,55,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,53,138,81,36,115,111,51,31,55,24,10,18,67,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,54,45,171,21,119,132,59,29,16,96,4,7,55,250,5,5,0.3,0.3,3,0.6,0.5,0.5
5,55,42,169,23,127,118,67,40,22,68,4,6,62,250,5,5,0.3,0.3,3,0.6,0.5,0.5
