influencer_appearance,Run,bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,step_peak_A,step_peak_B,susceptible,num_nodes,n_groups,initial_viral_size_A,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance
1,0,160,149,83,128,134,61,26,87,77,6,6,24,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,1,101,123,22,118,135,65,29,48,49,7,8,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,2,75,113,6,115,133,68,53,20,32,17,12,68,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,3,110,176,65,120,133,61,25,50,62,6,8,29,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,4,158,69,20,134,122,63,31,47,30,9,6,43,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,5,46,181,25,110,128,55,26,19,76,13,9,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,6,95,179,52,144,122,68,29,45,75,7,7,28,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,7,170,90,46,140,122,70,38,68,26,10,11,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,8,45,178,23,124,138,69,29,19,76,14,9,50,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,9,46,188,19,131,124,68,32,12,62,4,9,35,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,10,165,58,18,128,125,66,34,58,22,8,7,45,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,11,182,40,21,130,114,66,24,94,20,7,8,49,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,12,147,101,39,136,129,68,33,48,38,11,11,41,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,13,108,147,51,131,134,72,29,33,64,5,7,46,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,14,198,84,53,132,122,70,24,78,37,9,11,21,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,15,101,146,48,124,128,71,31,27,50,19,8,51,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,16,160,87,45,130,123,65,31,83,40,7,9,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,17,142,62,12,115,112,53,35,43,31,8,6,58,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,18,22,163,7,121,133,62,37,10,44,4,12,72,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,19,165,103,49,136,137,75,29,76,47,8,7,31,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,20,129,41,8,119,117,60,25,58,19,6,3,88,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,21,145,138,63,133,124,69,24,63,69,9,7,30,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,22,37,168,18,118,135,67,33,15,67,10,11,63,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,23,58,150,14,130,116,59,46,19,46,14,18,56,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,24,6,177,1,133,128,66,34,5,63,1,12,68,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,25,145,150,73,125,129,71,23,60,85,8,7,28,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,26,152,137,70,115,119,59,26,55,56,4,5,31,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,27,102,190,71,124,135,63,28,37,78,12,10,29,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,28,120,112,22,131,126,59,49,32,28,6,14,40,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,29,26,202,18,138,134,75,23,10,95,4,7,40,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,30,124,127,48,131,126,64,35,45,44,11,7,47,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,31,128,145,55,118,128,57,29,59,63,11,7,32,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,32,92,146,30,125,122,62,26,33,66,8,7,42,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,33,105,142,33,130,138,73,26,46,68,8,9,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,34,75,152,26,128,133,70,36,22,51,8,7,49,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,35,86,153,37,126,136,66,46,26,46,17,17,48,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,36,126,151,55,125,123,54,29,45,59,10,9,28,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,37,139,128,46,126,140,64,38,40,43,14,17,29,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,38,171,85,51,139,114,57,26,82,39,7,5,45,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,39,156,67,24,137,113,61,27,59,21,11,7,51,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,40,171,5,0,130,113,62,29,67,5,11,1,74,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,41,189,76,39,125,122,56,25,94,35,8,7,24,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,42,92,154,51,122,125,62,26,42,62,8,9,55,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,43,82,183,45,116,136,54,25,37,89,6,6,30,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,44,180,54,34,119,129,60,28,67,19,8,5,50,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,45,88,186,46,125,125,70,31,34,55,13,14,22,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,46,132,149,70,113,132,63,28,54,67,10,9,39,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,47,122,131,36,131,119,63,28,54,54,10,10,33,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,48,52,156,23,115,128,60,28,23,52,8,9,65,250,5,5,5,0.3,0.3,0.6,0.5,0.5
1,49,152,111,49,133,118,63,25,69,44,9,8,36,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,50,169,125,68,122,119,57,38,51,46,10,13,24,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,51,170,143,81,138,111,62,31,81,62,9,10,18,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,52,50,119,5,114,131,55,36,13,34,12,21,86,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,53,159,143,72,126,127,60,29,83,78,6,5,20,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,54,107,16,6,119,129,67,40,31,8,4,3,133,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,55,153,96,43,128,134,73,24,76,46,8,7,44,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,56,132,83,24,119,134,57,27,62,31,8,7,59,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,57,139,136,58,130,136,75,31,47,52,6,8,33,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,58,122,164,77,127,124,55,24,48,65,6,8,41,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,59,139,75,24,129,126,69,35,56,21,7,8,60,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,60,174,45,9,121,120,63,33,73,20,7,10,40,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,61,118,186,71,117,121,54,26,63,100,8,6,17,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,62,83,136,28,127,127,60,31,39,61,4,5,59,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,63,103,108,18,122,122,54,36,31,34,11,13,57,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,64,81,205,61,133,131,66,26,38,108,9,7,25,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,65,137,142,66,132,127,66,24,67,58,8,6,37,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,66,136,140,53,117,142,66,25,48,54,6,11,27,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,67,163,124,67,133,132,70,24,71,59,8,9,30,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,68,118,155,51,133,132,68,39,38,51,11,7,28,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,69,170,118,64,120,141,76,33,88,52,6,6,26,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,70,120,91,18,135,123,67,42,42,26,18,9,57,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,71,136,93,31,137,119,64,35,61,39,5,4,52,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,72,89,175,42,131,136,73,28,33,64,10,7,28,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,73,58,174,24,108,148,63,28,28,75,9,11,42,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,74,111,106,13,115,132,71,27,34,45,12,7,46,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,75,144,93,25,137,120,69,31,56,34,11,11,38,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,76,26,161,7,140,118,69,29,15,45,4,16,70,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,77,116,120,43,121,118,62,35,46,52,6,10,57,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,78,42,147,2,123,141,76,39,15,40,2,13,63,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,79,139,115,49,139,128,69,29,57,38,12,12,45,250,5,5,5,0.3,0.3,0.6,0.5,0.5
3,80,31,134,5,124,137,67,28,20,48,5,6,90,250,5,5,5,0.3,0.3,0.6,0.5,0.5
