initial_viral_size_A,Run,bored_A,bored_B,bored_both,interest_A,interest_B,interest_both,num_steps,peak_A,peak_B,step_peak_A,step_peak_B,susceptible,num_nodes,n_groups,initial_viral_size_B,meme_spread_chance,maybe_bored,influencer_appearance,influencer_spread_chance,interest_meme_A_chance,interest_meme_B_chance
5,0,8,208,1,89,189,66,25,7,116,1,6,35,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,1,15,218,5,82,189,63,28,9,105,3,9,22,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,2,10,216,6,70,172,53,36,5,88,1,7,30,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,3,38,218,28,73,175,51,28,13,100,10,8,22,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,4,7,206,2,73,175,52,30,6,104,1,6,39,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,5,74,202,41,81,177,57,27,33,82,6,10,15,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,6,18,201,7,67,178,50,23,10,123,4,7,38,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,7,24,221,17,81,179,62,33,13,98,6,8,22,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,8,43,211,33,81,176,54,27,26,98,4,6,29,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,9,76,187,50,95,166,61,28,41,105,7,7,37,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,10,29,221,15,82,175,59,33,12,99,7,6,15,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,11,57,219,47,58,180,39,29,35,95,6,7,21,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,12,10,234,6,74,190,57,29,5,110,1,8,12,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,13,22,222,15,71,184,49,27,10,129,5,7,21,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,14,82,186,47,89,175,66,23,45,99,6,6,29,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,15,6,223,1,67,182,48,29,6,117,1,7,22,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,16,11,211,4,83,179,65,30,7,102,2,6,32,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,17,14,232,10,71,180,51,24,6,109,5,5,14,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,18,71,217,56,71,176,51,26,43,111,5,4,18,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,19,56,208,30,86,183,57,23,23,104,8,7,16,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,20,24,196,13,87,176,66,30,14,102,4,8,43,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,21,9,230,6,83,181,62,30,6,109,1,6,17,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,22,75,183,40,79,175,61,33,34,60,7,14,32,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,23,47,207,29,91,190,68,27,14,107,12,8,25,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,24,49,202,28,82,163,51,27,23,98,6,7,27,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,25,8,231,4,73,183,49,29,7,112,2,6,15,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,26,75,204,51,89,183,64,27,37,109,8,7,22,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,27,37,196,20,75,174,56,27,15,87,4,8,37,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,28,52,210,36,71,175,51,24,21,107,3,8,24,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,29,76,190,46,83,181,56,28,30,88,7,8,30,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,30,50,191,22,76,185,51,24,21,95,4,7,31,250,5,5,0.3,0.3,3,0.6,0.3,0.7
5,31,87,138,27,74,174,50,29,30,51,3,8,52,250,5,5,0.3,0.3,3,0.6,0.3,0.7
